,,,,,,,,,,,,,,,,,,,,,,,,,,
,Voyager,Lease Expiration,Report,"BE Complete, Reliant on Analytics Team",Summary of the number of leases expiring in each month over a given time period by Unit Type or Property,Medium,High,Low,None,None,High,None,None,Medium,None,2,5,1,0,0,5,0,0,2,0,15
,Voyager,Concession Burn Off,Report,"BE Planned / In Development, Reliant on Analytics Team",Report outlining the current concession statistics and concession spend by Unit or Unit Type,Low,High,Medium,None,None,High,Medium,None,None,None,1,5,2,0,0,5,2,0,0,0,15
,Voyager,My Approvals,Accounting Tool,Planned For H2,Interface to view your own approvals from any given workflow,Medium,None,None,None,Medium,None,High,High,None,None,2,0,0,0,2,0,5,5,0,0,14
,Voyager,Invoice Register Dashboard,Dashboard,In-Development,Several components to add and manage invoices,Medium,None,None,None,Medium,None,High,High,None,None,2,0,0,0,2,0,5,5,0,0,14
,CRM Flex,CRM Dashboard,Dashboard,"Reliant on 3rd Party Tool, Minimally Planned",Overview of key leasing metrics at the property,Low,High,None,High,None,Medium,None,None,None,None,1,5,0,5,0,2,0,0,0,0,13
,CRM Flex,CRM Queue,Leasing Tool,"Reliant on 3rd Party Tool, Minimally Planned",Backlog of inbound prospect communication to be actioned by the Leasing team,Low,High,None,High,None,Medium,None,None,None,None,1,5,0,5,0,2,0,0,0,0,13
,Voyager,Work Order Reports,Report,Planned,Various reports on historic and outstanding work orders at the property,High,None,None,Medium,High,None,None,None,Low,None,5,0,0,2,5,0,0,0,1,0,13
,Voyager,Market Rent Schedule,Report,"Reliant on Analytics Team, BE Planned / In Development",All permutations of rent for all unit types and floor plans at the property,Low,Medium,Medium,None,None,High,Low,None,Medium,None,1,2,2,0,0,5,1,0,2,0,13
,Voyager,Purchase Orders,Accounting Tool,Not Accounted For,"Several components to add, post to ledger, and manage Purchase Orders",None,None,None,None,Medium,None,High,High,None,None,0,0,0,0,2,0,5,5,0,0,12
,Voyager,Unit Amenities,Report,Not Required in DeepSky,All amenity fees for all unit types by amenity tag,Low,Medium,Medium,None,None,High,Low,None,None,None,1,2,2,0,0,5,1,0,0,0,11
,Voyager,Review Vendor,Accounting Tool,Minimally Planned,Interface to manually review and approve vendors that have passed through VendorShield,Low,None,None,None,Medium,None,High,Medium,None,None,1,0,0,0,2,0,5,2,0,0,10
,Voyager,CheckScan,Accounting Tool,Minimally Planned,Used to post scanned checks to a ledger. Usually done in batches.,High,None,None,None,None,None,High,None,None,None,5,0,0,0,0,0,5,0,0,0,10
,CRM Flex,CRM Calendar,Leasing Tool,"Reliant on 3rd Party Tool, Minimally Planned","Detailed, agent-color-coded calendar of upcoming appointments, move-ins, and move-outs",None,High,None,High,None,None,None,None,None,None,0,5,0,5,0,0,0,0,0,0,10
,SiteManager,ILS Special Override,Marketing Tool,Minimally Planned,Updates copy and design for specials banner on property website,None,None,High,None,None,High,None,None,None,None,0,0,5,0,0,5,0,0,0,0,10
,Voyager,Budget Comparison Report (Variance Report),Report,"Not Required in DeepSky, Not Accounted For",Comparison of actuals to budget for the property's P&L. Updated regularly with notes for any variance by PM. Ability to click into any given line item to see underlying ledger entries.,High,None,None,None,None,None,High,None,None,None,5,0,0,0,0,0,5,0,0,0,10
,Voyager,Receivable Analytics,Report,Minimally Planned,Interface to produce and view variaous receivables reports; predominantly Aged Receivablss and Delinquency,High,None,None,None,None,None,High,None,None,None,5,0,0,0,0,0,5,0,0,0,10
,Voyager,Review Work Order,Maintenance Tool,In-Development,"Interface to review and update the cateogry, status and priority of any given work order",Medium,None,None,Medium,High,None,None,None,None,None,2,0,0,2,5,0,0,0,0,0,9
,Voyager,Eviction Report,Report,Minimally Planned,Residents under eviction within a gien time period,High,Medium,None,None,None,None,Medium,None,None,None,5,2,0,0,0,0,2,0,0,0,9
,Voyager,Payables,Accounting Tool,Minimally Planned,"Interface to search for, report on, and review and complete payables",Medium,None,None,None,None,None,High,Low,None,None,2,0,0,0,0,0,5,1,0,0,8
,Voyager,Deposit Accounting,Accounting Tool,Minimally Planned,Used to check and close a resident's ledger after they Move Out and create a final Move Out Statement,High,None,None,None,None,None,Medium,None,None,None,5,0,0,0,0,0,2,0,0,0,7
,Voyager,Proposed Rent Data,Pricing Tool,Planned,Used to populate renewal offers for a given set of leases,High,None,None,None,None,Medium,None,None,None,None,5,0,0,0,0,2,0,0,0,0,7
,Voyager,Income Statement,Report,In-Development,Property's Income Statement over a selected time period,Medium,None,None,None,None,None,High,None,None,None,2,0,0,0,0,0,5,0,0,0,7
,Voyager,Cash Flow,Report,In-Development,Property's Cash Flow Statement over a selected time period,Medium,None,None,None,None,None,High,None,None,None,2,0,0,0,0,0,5,0,0,0,7
,Voyager,General Ledger,Report,In-Development,Itemized view into all entries to the GL over a given time period,Medium,None,None,None,None,None,High,None,None,None,2,0,0,0,0,0,5,0,0,0,7
,Voyager,Aged Receivables,Report,Minimally Planned,Unpaid resident charges over a given time period,High,None,None,None,None,None,Medium,None,None,None,5,0,0,0,0,0,2,0,0,0,7
,Voyager,Unit Statistics Report,Report,"BE Complete, Reliant on Analytics Team","Rent and leasing (loss to lease) metrics for all Units and Floorplans, including rent per sq/ft",High,None,None,None,None,Medium,None,None,None,None,5,0,0,0,0,2,0,0,0,0,7
,CRM Flex,Agent Performance Report,Report,"BE Planned / In Development, Reliant on Analytics Team",Comparison of Agent performance used to calculate commissions.,Medium,High,None,None,None,None,None,None,None,None,2,5,0,0,0,0,0,0,0,0,7
,Voyager,Balance Sheet,Report,In-Development,Property's Balance Sheet,Low,None,None,None,None,None,High,None,None,None,1,0,0,0,0,0,5,0,0,0,6
,Voyager,Rentable Items Availability,Report,Minimally Planned,"Report of currently occupied and available rentable items, for example bike storage",Medium,Medium,None,None,None,Low,Low,None,None,None,2,2,0,0,0,1,1,0,0,0,6
,Voyager,Security Deposit Availability,Report,Minimally Planned,Deposit statuses for all tenants in a given time period,High,None,None,None,None,None,Low,None,None,None,5,0,0,0,0,0,1,0,0,0,6
,Voyager,Quick Charge,Accounting Tool,MVP Complete,Function to easily add a charge to a given ledger. Usually used by Assistant PMs to add charges to resident ledgers.,High,None,None,None,None,None,None,None,None,None,5,0,0,0,0,0,0,0,0,0,5
,Voyager,Resident Payment Method,Accounting Tool,In-Development,Used to check and update the current and allowed payment methods for all residents. Predominantly used to allow residents that were only allowed to pay in 'Cash' to pay online again after they completed a late payment.,High,None,None,None,None,None,None,None,None,None,5,0,0,0,0,0,0,0,0,0,5
,VendorCafe,Vendor Interface,Accounting Tool,"Reliant on 3rd Party Tool, Minimally Planned","Interface for vendors to submit insurance documentation and, once approved, invoices.",None,None,None,None,None,None,High,None,None,None,0,0,0,0,0,0,5,0,0,0,5
,VendorCafe,VendorShield,Accounting Tool,"Reliant on 3rd Party Tool, Minimally Planned",Yardi service that verifies the insurance of each vendor manually by communicating with the vendor's insurance directly. Usually provides a judgement within 2-3 days. Hugely important.,None,None,None,None,None,None,High,None,None,None,0,0,0,0,0,0,5,0,0,0,5
,VendorCafe,Vendor FOL Email,Accounting Tool,Not Accounted For,Single company email for vendors to send invoices. Yardi automatically processes invoices and places them in the appropriate workflow to be approved.,None,None,None,None,None,None,High,None,None,None,0,0,0,0,0,0,5,0,0,0,5
,Rentcafe API,Floorplan API,API,MVP Complete,Returns details for each floorplan,None,None,None,None,None,None,None,None,None,High,0,0,0,0,0,0,0,0,0,5,5
,Rentcafe API,Property API,API,Minimally Planned,"Returns property information set in Yardi to display on the Flow website: office hours, address, amenities.",None,None,None,None,None,None,None,None,None,High,0,0,0,0,0,0,0,0,0,5,5
,Rentcafe API,ApartmentAvailability API,API,MVP Complete,Intiates the creation of an application for a prospect from the Flow website,None,None,None,None,None,None,None,None,None,High,0,0,0,0,0,0,0,0,0,5,5
,Rentcafe API,UnitPricingData API,API,MVP Complete,Returns pricing for each unit to display on the Flow website,None,None,None,None,None,None,None,None,None,High,0,0,0,0,0,0,0,0,0,5,5
,Rentcafe API,Appointments API,API,"Minimally Planned, Reliant on 3rd Party Tool",Intiates the creation of an appointment for a prospect from the Flow website,None,None,None,None,None,None,None,None,None,High,0,0,0,0,0,0,0,0,0,5,5
,Rentcafe API,Sources API,API,Not Accounted For,Returns the source of a given prospect based on the communcation method used to book an appointment ,None,None,None,None,None,None,None,None,None,High,0,0,0,0,0,0,0,0,0,5,5
,Yardi API,GetResidentData,API,MVP Complete,Returns the ledger history for a given tenant over a given timeframe. Used to look at resident ledgers to see if they made a payment outside of the FOL App,None,None,None,None,None,None,None,None,None,High,0,0,0,0,0,0,0,0,0,5,5
,Yardi API,GetUnitInformation,API,MVP Complete,Returns all units in the building and their associated rents,None,None,None,None,None,None,None,None,None,High,0,0,0,0,0,0,0,0,0,5,5
,Yardi API,GetUserPropertyAccess,API,Planned,Returns the list of properties that the Yardi user has access to,None,None,None,None,None,None,None,None,None,High,0,0,0,0,0,0,0,0,0,5,5
,Yardi API,GetResidentTransaction_Login,API,In-Development,Returns all unsettled transactions for the user,None,None,None,None,None,None,None,None,None,High,0,0,0,0,0,0,0,0,0,5,5
,Yardi API,GetResidentTransactions_Login,API,In-Development,Returns all unsettled transactions for all residents in the building,None,None,None,None,None,None,None,None,None,High,0,0,0,0,0,0,0,0,0,5,5
,Yardi API,ImportResidentTransactions_LoginCharge,API,"In-Development, MVP Complete",Creates a charge to a given ledger,None,None,None,None,None,None,None,None,None,High,0,0,0,0,0,0,0,0,0,5,5
,Yardi API,ImportResidentTransactions_LoginPayment,API,"MVP Complete, In-Development",Registers a payment on a given ledger. Does not directly relate to a specific charge: we input business rules in Yardi to determine how payments are allocated to outstanding charges on a ledger.,None,None,None,None,None,None,None,None,None,High,0,0,0,0,0,0,0,0,0,5,5
,Mainenance IQ,Unit Turn Dashboard,Dashboard,"MVP Complete, In-Development",Overview of units that need to be Made Ready at the property,None,None,None,None,High,None,None,None,None,None,0,0,0,0,5,0,0,0,0,0,5
,Mainenance IQ,Make Ready Manager Dashboard,Dashboard,"MVP Complete, In-Development",Project management tool for each work order within each Unit Turn,None,None,None,None,High,None,None,None,None,None,0,0,0,0,5,0,0,0,0,0,5
,Mainenance IQ,Work Order Dashboard,Dashboard,In-Development,Overview of work orders at a property over a given time period. Voyager and Mainenance IQ are out of sync on completed work orders,None,None,None,None,High,None,None,None,None,None,0,0,0,0,5,0,0,0,0,0,5
,CRM Flex,CRM Emails,Leasing Tool,"Reliant on 3rd Party Tool, Minimally Planned",Allows Leasing Agents to email prospects from within CRM Flex. Not used by Support (using Zendesk),None,High,None,None,None,None,None,None,None,None,0,5,0,0,0,0,0,0,0,0,5
,CRM Flex,Documents Tab,Leasing Tool,In-Development,Dashboard to track necessary documents to be submitted for applications to progress.,None,High,None,None,None,None,None,None,None,None,0,5,0,0,0,0,0,0,0,0,5
,CRM Flex,Application Tab,Leasing Tool,In-Development,Dashboard to track and manage the application pipeline,None,High,None,None,None,None,None,None,None,None,0,5,0,0,0,0,0,0,0,0,5
,CRM Flex,Search,Leasing Tool,MVP Complete,"Powerful search function used to search for residents, documents, leases, etc. Far superior to Voyager search function",None,High,None,None,None,None,None,None,None,None,0,5,0,0,0,0,0,0,0,0,5
,CRM Flex,Guest Card / Application Management,Leasing Tool,In-Development,Used by Leasing Agents to manage their prospect's applications,None,High,None,None,None,None,None,None,None,None,0,5,0,0,0,0,0,0,0,0,5
,CRM Flex,Prorated Calculator,Leasing Tool,"In-Development, MVP Complete",Used by Leasing Agents to calculate lease charges for part of a month.,None,High,None,None,None,None,None,None,None,None,0,5,0,0,0,0,0,0,0,0,5
,CRM Flex,Lease Signing,Leasing Tool,In-Development,Allows Leasing Manager to digitally sign approved leases.,None,High,None,None,None,None,None,None,None,None,0,5,0,0,0,0,0,0,0,0,5
,Mainenance IQ,Work Order Management,Maintenance Tool,In-Development,"Allows Maintenance Manager and Technicians to review, update, categorize and prioritize a given work order. Also able to associate a third party vendor to the work order.",None,None,None,None,High,None,None,None,None,None,0,0,0,0,5,0,0,0,0,0,5
,SiteManager,ILS Syndication,Marketing Tool,Planned,Communication layer between property market rents and availability and the ILSs.,None,None,High,None,None,None,None,None,None,None,0,0,5,0,0,0,0,0,0,0,5
,SiteManager,Marketing Sources,Marketing Tool,Minimally Planned,Automatically links phone number or email a prospect uses to make an appointment to their source eg. Google.,None,None,High,None,None,None,None,None,None,None,0,0,5,0,0,0,0,0,0,0,5
,SiteManager,CMS,Marketing Tool,In-Development,System to manage the imagery on property websites and ILSs,None,None,High,None,None,None,None,None,None,None,0,0,5,0,0,0,0,0,0,0,5
,Voyager,Update Unit Rent,Pricing Tool,In-Development,"Manual, floorplan by floorplan interface to update market rents",None,None,None,None,None,High,None,None,None,None,0,0,0,0,0,5,0,0,0,0,5
,SiteManager,Override Rent,Pricing Tool,In-Development,Used to update rent at an individual unit level on the website,None,None,None,None,None,High,None,None,None,None,0,0,0,0,0,5,0,0,0,0,5
,Voyager,Aged Payables,Report,Minimally Planned,Report into outstanding approved payments to be made. Ability to click into the histoy and invoices and workflow approvals for any item,None,None,None,None,None,None,High,None,None,None,0,0,0,0,0,0,5,0,0,0,5
,CRM Flex,Quick Charge,Accounting Tool,MVP Complete,Used by Support and Leasing to add an invidivual charge to a resident's ledger. For instance for a Key Fob.,None,Medium,None,Medium,None,None,None,None,None,None,0,2,0,2,0,0,0,0,0,0,4
,CRM Flex,Manage Documents,Leasing Tool,In-Development,Used to add one-off documents like lease addendums for pets to the Lease,None,Medium,None,Medium,None,None,None,None,None,None,0,2,0,2,0,0,0,0,0,0,4
,Voyager,Vehicle Report,Report,Planned,Current Vehicles on registered on the property,Medium,None,None,Medium,None,None,None,None,None,None,2,0,0,2,0,0,0,0,0,0,4
,Voyager,Guest Directory,Report,"Minimally Planned, Reliant on 3rd Party Tool",Prospect details and leasing report for all prospects over a given time period. Used by PM to verify Commissions.,Medium,Medium,None,None,None,None,None,None,None,None,2,2,0,0,0,0,0,0,0,0,4
,Voyager,Resident Activity,Report,Not Accounted For,Activity for all Unit Types or by Property. Predominantly used to track residents on Month to Month leases. Hyperlinks into individual residents for each category.,Medium,None,None,None,None,None,Low,None,None,None,2,0,0,0,0,0,1,0,0,0,3
,CRM Flex,Resident Portal Access,Support Tool,Not Accounted For,Used by Support to troubleshoot resident issues by viewing what the resident sees in their Portal,None,Low,None,Medium,None,None,None,None,None,None,0,1,0,2,0,0,0,0,0,0,3
,Voyager,Renter's Insurance,Report,Minimally Planned,Interface used to reconcile Insurance details by tenant in Yardi with Assurant report,Medium,None,None,None,None,None,None,None,None,None,2,0,0,0,0,0,0,0,0,0,2
,Mainenance IQ,Weekly Trend Analytics,Report,"BE Planned / In Development, Reliant on Analytics Team",Simple analytics of Maintenance Team's recent performance,None,None,None,None,Medium,None,None,None,None,None,0,0,0,0,2,0,0,0,0,0,2
,ScreeningWorks,Application Dashboard,Dashboard,In-Development,Overview of the screening decision and status for all applicants over a given time period. Screening works integrates with CRM Flex and displays screening decision for each prospect. Dashboard used predominantly by Leasing Manager.,None,Low,None,None,None,None,None,None,None,None,0,1,0,0,0,0,0,0,0,0,1
,Voyager,Update Proposed Amenities,Pricing Tool,Not Required in DeepSky,"Manual, floorplan by floorplan interface to update amenity fees for different floorplans",None,None,None,None,None,Low,None,None,None,None,0,0,0,0,0,1,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Importance Points,,,,,,,,,,,,,,,,,,,,,,,,,
,High,5,,,,,,,,,,,,,,,,,,,,,,,,
,Medium,2,,,,,,,,,,,,,,,,,,,,,,,,
,Low,1,,,,,,,,,,,,,,,,,,,,,,,,
,None,0,,,,,,,,,,,,,,,,,,,,,,,,
